0231;POLITICA ABIERTA PARA LA INTEGRIDAD SOCIAL        ;POLITICA ABIERTA PARA LA INTEGRIDAD SOCIAL                                                          ;
0259;DEL CAMPO POPULAR                                 ;DEL CAMPO POPULAR                                                                                   ;
0262;EL MOVIMIENTO                                     ;EL MOVIMIENTO                                                                                       ;
0268;MOVIMIENTO AMPLIO DE TRABAJADORES Y JUBILADOS     ;MOVIMIENTO AMPLIO DE TRABAJADORES Y JUBILADOS                                                       ;
0298;TODOS POR BUENOS AIRES                            ;TODOS POR BUENOS AIRES                                                                              ;
0301;PATRIA GRANDE                                     ;PATRIA GRANDE                                                                                       ;
0309;MOVIMIENTO ORGANIZACION DEMOCRATICA               ;MOVIMIENTO ORGANIZACION DEMOCRATICA                                                                 ;
0318;MOVIMIENTO PARA LA VICTORIA                       ;MOVIMIENTO PARA LA VICTORIA                                                                         ;
0319;UNION VECINAL DE GUAMINI                          ;UNION VECINAL DE GUAMINI                                                                            ;
0327;BANDERA VECINAL                                   ;BANDERA VECINAL                                                                                     ;
0364;ACCION MARPLATENSE                                ;ACCION MARPLATENSE                                                                                  ;
0382;IVR-INT.VECINALISTA ROSALEÑA                      ;IVR-INT.VECINALISTA ROSALEÑA                                                                        ;
0484;NAC-NUEVA ALTERNATIVA CARMEÑA                     ;NAC-NUEVA ALTERNATIVA CARMEÑA                                                                       ;
0501;FRENTE PARA LA VICTORIA                           ;FRENTE PARA LA VICTORIA                                                                             ;
0502;CAMBIEMOS                                         ;CAMBIEMOS                                                                                           ;
0503;FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES         ;FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                           ;
0504;FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES - PARTID;FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES - PARTIDO OBRERO + IZQUIERDA POR UNA OPCION SOCIALISTA    ;
0505;FRENTE DE LA VICTORIA                             ;FRENTE DE LA VICTORIA                                                                               ;
0510;1 PROYECTO SANTAFESINO                            ;1 PROYECTO SANTAFESINO                                                                              ;
0511;1PAIS                                             ;1PAIS                                                                                               ;
0512;1 PAIS - SOMOS SAN JUAN                           ;1 PAIS - SOMOS SAN JUAN                                                                             ;
0513;1PAIS FRENTE RENOVADOR NEUQUEN +A                 ;1PAIS FRENTE RENOVADOR NEUQUEN +A                                                                   ;
0514;ALTERNATIVA POPULAR RIOJANA                       ;ALTERNATIVA POPULAR RIOJANA                                                                         ;
0515;AVANCEMOS HACIA 1PAIS MEJOR                       ;AVANCEMOS HACIA 1PAIS MEJOR                                                                         ;
0516;AVANZAR Y CAMBIEMOS POR SAN LUIS                  ;AVANZAR Y CAMBIEMOS POR SAN LUIS                                                                    ;
0517;CAMBIEMOS - FUERZA CIVICA RIOJANA                 ;CAMBIEMOS - FUERZA CIVICA RIOJANA                                                                   ;
0518;CAMBIEMOS BUENOS AIRES                            ;CAMBIEMOS BUENOS AIRES                                                                              ;
0519;CAMBIEMOS CHUBUT                                  ;CAMBIEMOS CHUBUT                                                                                    ;
0520;CAMBIEMOS PAIS                                    ;CAMBIEMOS PAIS                                                                                      ;
0521;CAMBIEMOS PARA EL BICENTENARIO                    ;CAMBIEMOS PARA EL BICENTENARIO                                                                      ;
0522;CAMBIEMOS POR SAN JUAN                            ;CAMBIEMOS POR SAN JUAN                                                                              ;
0523;CAMBIEMOS RIO NEGRO                               ;CAMBIEMOS RIO NEGRO                                                                                 ;
0524;CAMBIEMOS TIERRA DEL FUEGO                        ;CAMBIEMOS TIERRA DEL FUEGO                                                                          ;
0525;CONVOCATORIA ABIERTA POR BUENOS AIRES             ;CONVOCATORIA ABIERTA POR BUENOS AIRES                                                               ;
0526;CREO                                              ;CREO                                                                                                ;
0527;ENCUENTRO POPULAR POR TIERRA TECHO Y TRABAJO      ;ENCUENTRO POPULAR POR TIERRA TECHO Y TRABAJO                                                        ;
0528;ENCUENTRO POR CORRIENTES - ECO + CAMBIEMOS        ;ENCUENTRO POR CORRIENTES - ECO + CAMBIEMOS                                                          ;
0529;ENCUENTRO POR MENDOZA                             ;ENCUENTRO POR MENDOZA                                                                               ;
0530;ESPACIO GRANDE                                    ;ESPACIO GRANDE                                                                                      ;
0531;EVOLUCION                                         ;EVOLUCION                                                                                           ;
0532;FRENTE AMPLIO FORMOSEÑO CAMBIEMOS                 ;FRENTE AMPLIO FORMOSEÑO CAMBIEMOS                                                                   ;
0533;FRENTE AMPLIO TUCUMANO                            ;FRENTE AMPLIO TUCUMANO                                                                              ;
0534;FRENTE AVANCEMOS                                  ;FRENTE AVANCEMOS                                                                                    ;
0535;FRENTE CAMBIEMOS                                  ;FRENTE CAMBIEMOS                                                                                    ;
0536;FRENTE CAMBIEMOS LA PAMPA                         ;FRENTE CAMBIEMOS LA PAMPA                                                                           ;
0537;FRENTE CHACO MERECE MAS                           ;FRENTE CHACO MERECE MAS                                                                             ;
0538;FRENTE CHUBUT PARA TODOS                          ;FRENTE CHUBUT PARA TODOS                                                                            ;
0539;FRENTE CIUDADANO PARA LA VICTORIA                 ;FRENTE CIUDADANO PARA LA VICTORIA                                                                   ;
0540;FRENTE CIUDADANO Y SOCIAL                         ;FRENTE CIUDADANO Y SOCIAL                                                                           ;
0541;FRENTE CIVICO POR SANTIAGO                        ;FRENTE CIVICO POR SANTIAGO                                                                          ;
0542;FRENTE CIVICO Y SOCIAL - CAMBIEMOS                ;FRENTE CIVICO Y SOCIAL - CAMBIEMOS                                                                  ;
0543;FRENTE CORDOBA CIUDADANA                          ;FRENTE CORDOBA CIUDADANA                                                                            ;
0544;FRENTE DE UNIDAD CIUDADANA                        ;FRENTE DE UNIDAD CIUDADANA                                                                          ;
0545;FRENTE JUJEÑO CAMBIEMOS                           ;FRENTE JUJEÑO CAMBIEMOS                                                                             ;
0546;FRENTE JUSTICIALISTA                              ;FRENTE JUSTICIALISTA                                                                                ;
0547;FRENTE JUSTICIALISTA PARA LA VICTORIA             ;FRENTE JUSTICIALISTA PARA LA VICTORIA                                                               ;
0548;FRENTE JUSTICIALISTA POR TUCUMAN                  ;FRENTE JUSTICIALISTA POR TUCUMAN                                                                    ;
0549;FRENTE JUSTICIALISTA RIOJANO                      ;FRENTE JUSTICIALISTA RIOJANO                                                                        ;
0550;FRENTE JUSTICIALISTA SOMOS ENTRE RIOS             ;FRENTE JUSTICIALISTA SOMOS ENTRE RIOS                                                               ;
0551;FRENTE NEUQUINO                                   ;FRENTE NEUQUINO                                                                                     ;
0552;FRENTE PATRIOTA BANDERA VECINAL                   ;FRENTE PATRIOTA BANDERA VECINAL                                                                     ;
0553;FRENTE POPULAR PARA LA LIBERACION                 ;FRENTE POPULAR PARA LA LIBERACION                                                                   ;
0554;FRENTE PROGRESISTA CIVICO Y SOCIAL                ;FRENTE PROGRESISTA CIVICO Y SOCIAL                                                                  ;
0555;FRENTE PROGRESISTA PAMPEANO                       ;FRENTE PROGRESISTA PAMPEANO                                                                         ;
0556;FRENTE PROGRESISTA POPULAR                        ;FRENTE PROGRESISTA POPULAR                                                                          ;
0557;FRENTE RENOVADOR - 1PAIS                          ;FRENTE RENOVADOR - 1PAIS                                                                            ;
0558;FRENTE RENOVADOR 1PAIS                            ;FRENTE RENOVADOR 1PAIS                                                                              ;
0559;FRENTE RENOVADOR DE LA CONCORDIA                  ;FRENTE RENOVADOR DE LA CONCORDIA                                                                    ;
0560;FRENTE SOCIAL Y POPULAR                           ;FRENTE SOCIAL Y POPULAR                                                                             ;
0561;FRENTE SOCIALISTA Y POPULAR                       ;FRENTE SOCIALISTA Y POPULAR                                                                         ;
0562;FRENTE SOMOS MENDOZA                              ;FRENTE SOMOS MENDOZA                                                                                ;
0563;FRENTE TIERRA DE UNION                            ;FRENTE TIERRA DE UNION                                                                              ;
0564;FRENTE TODOS                                      ;FRENTE TODOS                                                                                        ;
0565;FRENTE UNIDAD JUSTICIALISTA SAN LUIS              ;FRENTE UNIDAD JUSTICIALISTA SAN LUIS                                                                ;
0566;FRENTE UNIDAD Y RENOVACION                        ;FRENTE UNIDAD Y RENOVACION                                                                          ;
0567;IZQUIERDA AL FRENTE POR EL SOCIALISMO             ;IZQUIERDA AL FRENTE POR EL SOCIALISMO                                                               ;
0568;JUNTOS PODEMOS MAS                                ;JUNTOS PODEMOS MAS                                                                                  ;
0569;JUNTOS SOMOS RIO NEGRO                            ;JUNTOS SOMOS RIO NEGRO                                                                              ;
0570;SOMOS                                             ;SOMOS                                                                                               ;
0571;SOMOS CORRIENTES                                  ;SOMOS CORRIENTES                                                                                    ;
0572;UN NUEVO PAIS (1P)                                ;UN NUEVO PAIS (1P)                                                                                  ;
0573;UNA RIOJA                                         ;UNA RIOJA                                                                                           ;
0574;UNIDAD CIUDADANA                                  ;UNIDAD CIUDADANA                                                                                    ;
0575;UNIDAD CIUDADANA PARA LA VICTORIA                 ;UNIDAD CIUDADANA PARA LA VICTORIA                                                                   ;
0576;UNIDAD PORTEÑA                                    ;UNIDAD PORTEÑA                                                                                      ;
0577;UNION PARA VIVIR MEJOR - CAMBIEMOS                ;UNION PARA VIVIR MEJOR - CAMBIEMOS                                                                  ;
0578;UNION POR CORDOBA                                 ;UNION POR CORDOBA                                                                                   ;
0579;UNIR TDF                                          ;UNIR TDF                                                                                            ;
0580;VAMOS JUNTOS                                      ;VAMOS JUNTOS                                                                                        ;
0612;NUEVO ZARATE                                      ;NUEVO ZARATE                                                                                        ;
0661;NUEVO SOCIALISMO MARPLATENSE                      ;NUEVO SOCIALISMO MARPLATENSE                                                                        ;
0673;CONSTRUC.SOCIAL PARTICIPATIVA                     ;CONSTRUC.SOCIAL PARTICIPATIVA                                                                       ;
0697;ACCION POR VILLARINO                              ;ACCION POR VILLARINO                                                                                ;
0705;CON VOCACION POR SAN ISIDRO                       ;CON VOCACION POR SAN ISIDRO                                                                         ;
0737;PROPIN-PROPUESTA PINAMAR                          ;PROPIN-PROPUESTA PINAMAR                                                                            ;
0738;MIC-MERCEDES INDEPENDIENTE COMUNAL                ;MIC-MERCEDES INDEPENDIENTE COMUNAL                                                                  ;
0750;TODOS VECINOS                                     ;TODOS VECINOS                                                                                       ;
0751;CAS-CONCORDANCIA APERTURISTA SALTENSE             ;CAS-CONCORDANCIA APERTURISTA SALTENSE                                                               ;
0758;UNOS-UNA NUEVA OPORTUNIDAD SUARENSE               ;UNOS-UNA NUEVA OPORTUNIDAD SUARENSE                                                                 ;
0760;VIVILO-VECINOS INDEPENDIENTES                     ;VIVILO-VECINOS INDEPENDIENTES                                                                       ;
0782;UNIDAD PACEÑA                                     ;UNIDAD PACEÑA                                                                                       ;
0792;UNION VECINAL SALLIQUELO                          ;UNION VECINAL SALLIQUELO                                                                            ;
0793;VECINOS SOLIDARIOS                                ;VECINOS SOLIDARIOS                                                                                  ;
0797;ENTRE TODOS                                       ;ENTRE TODOS                                                                                         ;
0806;SUR EN MARCHA                                     ;SUR EN MARCHA                                                                                       ;
0807;GEM CATAMARCA                                     ;GEM CATAMARCA                                                                                       ;
0809;CORRIENTE DE PENSAMIENTO BONAERENSE (CO.PE.BO)    ;CORRIENTE DE PENSAMIENTO BONAERENSE (CO.PE.BO)                                                      ;
0810;FRENTE UNION FEDERAL                              ;FRENTE UNION FEDERAL                                                                                ;
0811;VAMOS                                             ;VAMOS                                                                                               ;
0812;VAMOS CREANDO CIUDAD NUEVA                        ;VAMOS CREANDO CIUDAD NUEVA                                                                          ;
0813;PARTIDO SOCIALISTA                                ;PARTIDO SOCIALISTA                                                                                  ;
0814;PARTIDO RENOVADOR FEDERAL                         ;PARTIDO RENOVADOR FEDERAL                                                                           ;
0815;MAC-MISION, ACC. Y COMPROMISO                     ;MAC-MISION, ACC. Y COMPROMISO                                                                       ;
0816;VECINOS SOLIDARIOS DE ALTE. BROWN                 ;VECINOS SOLIDARIOS DE ALTE. BROWN                                                                   ;
0817;UVEP-U. VECINALISTA PLATENSE                      ;UVEP-U. VECINALISTA PLATENSE                                                                        ;
0819;CONS.JUARENSE PARA LA PART.CIUDADANA              ;CONS.JUARENSE PARA LA PART.CIUDADANA                                                                ;
0820;PROYECTO ESCOBAR                                  ;PROYECTO ESCOBAR                                                                                    ;
0821;AG.VECINALISTA PROYECTO LOCAL MERLENSE            ;AG.VECINALISTA PROYECTO LOCAL MERLENSE                                                              ;
0822;COMPROMISO VECINAL LA COSTA                       ;COMPROMISO VECINAL LA COSTA                                                                         ;
0823;UNION VECINAL MAS CAMPANA                         ;UNION VECINAL MAS CAMPANA                                                                           ;
0824;MOVES                                             ;MOVES LUJAN                                                                                         ;
0827;JUNIN BICENTENARIO                                ;JUNIN BICENTENARIO                                                                                  ;
0828;P.O.T.-POR OLAVARRIA TODOS                        ;P.O.T.-POR OLAVARRIA TODOS                                                                          ;
0829;AGRUP.25 DE MAYO "MERCEDES"                       ;AGRUP.25 DE MAYO "MERCEDES"                                                                         ;
0836;VALORES PARA MI PAIS NECOCHEA                     ;VALORES PARA MI PAIS NECOCHEA                                                                       ;
0839;ACCION POR PILAR                                  ;ACCION POR PILAR                                                                                    ;
0840;VALORES PARA MI PAIS                              ;VALORES PARA MI PAIS                                                                                ;
0842;VECINALISMO EN ACCION                             ;VECINALISMO EN ACCION                                                                               ;
0843;NUEVO PERGAMINO                                   ;NUEVO PERGAMINO                                                                                     ;
0844;BIEN COMUN POR ROSALES                            ;BIEN COMUN POR ROSALES                                                                              ;
0845;UNION VEC.DE A.GONZALES CHAVES                    ;UNION VEC.DE A.GONZALES CHAVES                                                                      ;
0847;POR UN NUEVO JUNIN                                ;POR UN NUEVO JUNIN                                                                                  ;
0848;MOV.VEC.DEL PARTIDO DE TRES ARROYOS               ;MOV.VEC.DEL PARTIDO DE TRES ARROYOS                                                                 ;
0849;UNION DEL PUEBLO MORENO                           ;UNION DEL PUEBLO MORENO                                                                             ;
0850;SUMEMOS PILAR                                     ;SUMEMOS PILAR                                                                                       ;
0851;SIEMPRE ITUZAINGO                                 ;SIEMPRE ITUZAINGO                                                                                   ;
0852;INTEGRACION BALCARCEÑA                            ;INTEGRACION BALCARCEÑA                                                                              ;
0853;JUNTOS POR CHACOMUS                               ;JUNTOS POR CHACOMUS                                                                                 ;
0854;ACUERDO BELGRANENSE                               ;ACUERDO BELGRANENSE                                                                                 ;
0855;MAR DEL PLATA PUERTO Y REGION                     ;MAR DEL PLATA PUERTO Y REGION                                                                       ;
0856;FUERZA VECINAL PARA EL CAMBIO SOCIAL              ;FUERZA VECINAL PARA EL CAMBIO SOCIAL                                                                ;
0857;CAMBIA MENDOZA                                    ;CAMBIA MENDOZA                                                                                      ;
3001;AGRUPACION 4 DE JUNIO                             ;AGRUPACION 4 DE JUNIO                                                                               ;
3002;CIUDADANOS EN ACCION                              ;CIUDADANOS EN ACCION                                                                                ;
3003;FRENTE PERONISTA BARRIAL                          ;FRENTE PERONISTA BARRIAL                                                                            ;
3004;PERONISTAS DE LA PAMPA                            ;PERONISTAS DE LA PAMPA                                                                              ;
